prefecture,region,capitale,superficie_km2,population_2022,densite_hab_km2,nb_agences,nb_points_mobile_money,agences_pour_100k_hab,mobile_money_pour_100k_hab
Amou,Plateaux,Amlamé,1808,114172,63.1,0,175,0.0,153.28
Akébou,Plateaux,Akébou,1130,73830,65.3,0,87,0.0,117.84
Danyi,Plateaux,Danyi-Apéyémé,396,40240,101.6,0,142,0.0,352.88
Binah,Kara,Pagouda,535,84199,157.4,0,212,0.0,251.78
Est-Mono,Plateaux,Elavagnon,2599,164460,63.3,0,209,0.0,127.08
Mô,Centrale,Djarkpanga,1256,52448,41.8,0,32,0.0,61.01
Kpendjal-Ouest,Savanes,Naki Est,774,123330,159.3,0,129,0.0,104.6
Kpendjal,Savanes,Mandouri,1385,88365,63.8,0,41,0.0,46.4
Lacs,Maritime,Aného,388,241247,621.8,0,741,0.0,307.15
Tandjouaré,Savanes,Tandjouaré,946,117969,124.7,0,0,0.0,0.0
Wawa,Plateaux,Badou,1209,101300,83.8,0,244,0.0,240.87
Vo,Maritime,Vogan,755,224411,297.2,0,476,0.0,212.11
Ogou,Plateaux,Atakpamé,1928,253467,131.5,1,421,0.39,166.1
Tône,Savanes,Dapaong,1210,388775,321.3,2,1280,0.51,329.24
Dankpen,Kara,Guérin-Kouka,2497,185662,74.4,1,190,0.54,102.34
Yoto,Maritime,Tabligbo,1258,174851,139.0,1,160,0.57,91.51
Oti-Sud,Savanes,Sagbiabou,2376,150376,63.3,1,159,0.66,105.73
Kozah,Kara,Kara,1084,283738,261.8,2,1562,0.7,550.51
Oti,Savanes,Sansanné-Mango,1524,124848,81.9,1,368,0.8,294.76
Haho,Plateaux,Notsé,3051,305096,100.0,3,453,0.98,148.48
Tchamba,Centrale,Tchamba,3168,200585,63.3,2,205,1.0,102.2
Zio,Maritime,Tsévié,2164,500032,231.1,5,779,1.0,155.79
Moyen-Mono,Plateaux,Tohoun,595,90505,152.1,1,81,1.1,89.5
Anié,Plateaux,Anié,1967,180158,91.6,2,285,1.11,158.19
Agou,Plateaux,Agou,1085,85793,79.1,1,224,1.17,261.09
Doufelgou,Kara,Niamtougou,1151,84767,73.6,1,184,1.18,217.07
Blitta,Centrale,Blitta,3128,163272,52.2,2,90,1.22,55.12
Kloto,Plateaux,Kpalimé,508,145986,287.4,2,503,1.37,344.55
Assoli,Kara,Bafilo,930,66394,71.4,1,228,1.51,343.4
Cinkassé,Savanes,Cinkassé,282,128959,457.3,2,543,1.55,421.06
Kéran,Kara,Kandé,1967,128687,65.4,2,139,1.55,108.01
Agoè-Nyivé,Maritime,Agoè-Nyivé,167,882695,5285.6,14,1398,1.59,158.38
Tchaoudjo,Centrale,Sokodé,2396,240360,100.3,4,1411,1.66,587.04
Bassar,Kara,Bassar,3425,152065,44.4,3,436,1.97,286.72
Golfe,Maritime,Lomé,215,1305681,6072.9,26,5121,1.99,392.21
Bas-Mono,Maritime,Afagnagan,327,94860,290.1,2,183,2.11,192.92
Sotouboua,Centrale,Sotouboua,3146,138864,44.1,3,355,2.16,255.65
Kpélé,Plateaux,Adeta,930,80939,87.0,2,255,2.47,315.05
Avé,Maritime,Kévé,1006,111214,110.6,3,128,2.7,115.09
