prefecture_geojson,population_2022,nb_agences,nb_points_mobile_money,region,agences_pour_100k_hab
Agou,85793,1,224,Plateaux,1.17
Akébou,73830,0,87,Plateaux,0.0
Amou,114172,0,175,Plateaux,0.0
Anié,180158,2,285,Plateaux,1.11
Assoli,66394,1,228,Kara,1.51
Ave,111214,3,128,Maritime,2.7
Bas-Mono,94860,2,183,Maritime,2.11
Bassar,152065,3,436,Kara,1.97
Binah,84199,0,212,Kara,0.0
Blitta,163272,2,90,Centrale,1.22
Cinkassé,128959,2,543,Savanes,1.55
Dankpen,185662,1,190,Kara,0.54
Danyi,40240,0,142,Plateaux,0.0
Doufelgou,84767,1,184,Kara,1.18
Est-Mono,164460,0,209,Plateaux,0.0
Golfe,2188376,40,6519,Maritime,1.83
Haho,305096,3,453,Plateaux,0.98
Keran,128687,2,139,Kara,1.55
Kloto,145986,2,503,Plateaux,1.37
Kozah,283738,2,1562,Kara,0.7
Kpendjal,211695,0,170,Savanes,0.0
Kpélé,80939,2,255,Plateaux,2.47
Lacs,241247,0,741,Maritime,0.0
Moyen-Mono,90505,1,81,Plateaux,1.1
Ogou,253467,1,421,Plateaux,0.39
Oti,275224,2,527,Savanes,0.73
Plaine de Mô,52448,0,32,Centrale,0.0
Sotouboua,138864,3,355,Centrale,2.16
Tandjouare,117969,0,0,Savanes,0.0
Tchamba,200585,2,205,Centrale,1.0
Tchaoudjo,240360,4,1411,Centrale,1.66
Tone,388775,2,1280,Savanes,0.51
Vo,224411,0,476,Maritime,0.0
Wawa,101300,0,244,Plateaux,0.0
Yoto,174851,1,160,Maritime,0.57
Zio,500032,5,779,Maritime,1.0
Lome Commune,2188376,40,6519,Maritime,1.83
