prefecture_geojson,population_worldpop_2020
Tchamba,207168
Tchaoudjo,253310
Assoli,94808
Binah,82249
Doufelgou,98069
Keran,123061
Kozah,299826
Golfe,1167541
Bas-Mono,108396
Vo,264036
Yoto,194905
Amou,126187
Wawa,109235
Blitta,184214
Sotouboua,151328
Bassar,151798
Dankpen,202555
Ave,166802
Zio,687003
Agou,89314
Danyi,40339
Est-Mono,149633
Haho,301094
Kpélé,99368
Moyen-Mono,94503
Ogou,293276
Kpendjal,186566
Oti,321650
Tandjouare,150965
Tone,420057
Cinkassé,100944
Plaine de Mô,55300
Akébou,74556
Anié,202341
Kloto,160433
Lacs,193977
Lome Commune,915799
