prefecture,region,capitale,superficie_km2,population_2022,densite_hab_km2
Agoè-Nyivé,Maritime,Agoè-Nyivé,167,882695,5285.6
Agou,Plateaux,Agou,1085,85793,79.1
Akébou,Plateaux,Akébou,1130,73830,65.3
Amou,Plateaux,Amlamé,1808,114172,63.1
Anié,Plateaux,Anié,1967,180158,91.6
Assoli,Kara,Bafilo,930,66394,71.4
Avé,Maritime,Kévé,1006,111214,110.6
Bas-Mono,Maritime,Afagnagan,327,94860,290.1
Bassar,Kara,Bassar,3425,152065,44.4
Binah,Kara,Pagouda,535,84199,157.4
Blitta,Centrale,Blitta,3128,163272,52.2
Cinkassé,Savanes,Cinkassé,282,128959,457.3
Dankpen,Kara,Guérin-Kouka,2497,185662,74.4
Danyi,Plateaux,Danyi-Apéyémé,396,40240,101.6
Doufelgou,Kara,Niamtougou,1151,84767,73.6
Est-Mono,Plateaux,Elavagnon,2599,164460,63.3
Golfe,Maritime,Lomé,215,1305681,6072.9
Haho,Plateaux,Notsé,3051,305096,100.0
Kéran,Kara,Kandé,1967,128687,65.4
Kloto,Plateaux,Kpalimé,508,145986,287.4
Kozah,Kara,Kara,1084,283738,261.8
Kpélé,Plateaux,Adeta,930,80939,87.0
Kpendjal,Savanes,Mandouri,1385,88365,63.8
Kpendjal-Ouest,Savanes,Naki Est,774,123330,159.3
Lacs,Maritime,Aného,388,241247,621.8
Mô,Centrale,Djarkpanga,1256,52448,41.8
Moyen-Mono,Plateaux,Tohoun,595,90505,152.1
Ogou,Plateaux,Atakpamé,1928,253467,131.5
Oti,Savanes,Sansanné-Mango,1524,124848,81.9
Oti-Sud,Savanes,Sagbiabou,2376,150376,63.3
Sotouboua,Centrale,Sotouboua,3146,138864,44.1
Tandjouaré,Savanes,Tandjouaré,946,117969,124.7
Tchamba,Centrale,Tchamba,3168,200585,63.3
Tchaoudjo,Centrale,Sokodé,2396,240360,100.3
Tône,Savanes,Dapaong,1210,388775,321.3
Vo,Maritime,Vogan,755,224411,297.2
Wawa,Plateaux,Badou,1209,101300,83.8
Yoto,Maritime,Tabligbo,1258,174851,139.0
Zio,Maritime,Tsévié,2164,500032,231.1
